run,population,behaviour,code
1,Uossob,1,absent
1,Uossob,2,absent
1,Uossob,3,absent
1,Uossob,4,absent
1,Uossob,5,absent
1,Uossob,6,habitual
1,Uossob,7,customary
1,Uossob,8,absent
1,Uossob,9,absent
1,Uossob,10,habitual
1,Uossob,11,absent
1,Uossob,12,customary
1,Uossob,13,customary
1,Uossob,14,customary
1,Uossob,15,absent
1,Uossob,16,customary
1,Uossob,17,customary
1,Uossob,18,habitual
1,Uossob,19,customary
1,Uossob,20,absent
1,Uossob,21,absent
1,Uossob,22,absent
1,Uossob,23,absent
1,Uossob,24,absent
1,Uossob,25,absent
1,Uossob,26,habitual
1,Uossob,27,absent
1,Uossob,28,customary
1,Uossob,29,customary
1,Uossob,30,absent
1,Uossob,31,absent
1,Uossob,32,customary
1,Uossob,33,absent
1,Uossob,34,absent
1,Uossob,35,absent
1,Uossob,36,customary
1,Uossob,37,customary
1,Uossob,38,customary
1,Uossob,39,customary
1,Uossob,40,customary
1,Uossob,41,ecological explanation
1,Uossob,42,absent
1,Uossob,43,absent
1,Uossob,44,present
1,Uossob,45,customary
1,Uossob,46,present
1,Uossob,47,absent
1,Uossob,48,customary
1,Uossob,49,customary
1,Uossob,50,customary
1,Uossob,51,ecological explanation
1,Uossob,52,customary
1,Uossob,53,customary
1,Uossob,54,customary
1,Uossob,55,absent
1,Uossob,56,customary
1,Uossob,57,ecological explanation
1,Uossob,58,ecological explanation
1,Uossob,59,customary
1,Uossob,60,ecological explanation
1,Uossob,61,absent
1,Uossob,62,ecological explanation
1,Uossob,63,customary
1,Uossob,64,customary
1,Iat Forest,1,absent
1,Iat Forest,2,habitual
1,Iat Forest,3,absent
1,Iat Forest,4,absent
1,Iat Forest,5,absent
1,Iat Forest,6,habitual
1,Iat Forest,7,customary
1,Iat Forest,8,absent
1,Iat Forest,9,absent
1,Iat Forest,10,absent
1,Iat Forest,11,absent
1,Iat Forest,12,customary
1,Iat Forest,13,customary
1,Iat Forest,14,customary
1,Iat Forest,15,present
1,Iat Forest,16,customary
1,Iat Forest,17,customary
1,Iat Forest,18,absent
1,Iat Forest,19,customary
