alpha_e,alpha_g,n
0.5,0,24
0.5,0,25
0.5,0,27
0.5,0,25
0.5,0,29
0.5,0,24
0.5,0,27
0.5,0,29
0.5,0,21
0.5,0,33
0.5,0,20
0.5,0,24
0.5,0,25
0.5,0,20
0.5,0,28
0.5,0,30
0.5,0,27
0.5,0,22
0.5,0,22
0.5,0,26
0.5,0.1,29
0.5,0.1,29
0.5,0.1,28
0.5,0.1,25
0.5,0.1,28
0.5,0.1,29
0.5,0.1,39
0.5,0.1,29
0.5,0.1,26
0.5,0.1,30
0.5,0.1,29
0.5,0.1,26
0.5,0.1,29
0.5,0.1,32
0.5,0.1,30
0.5,0.1,26
0.5,0.1,28
0.5,0.1,23
0.5,0.1,25
0.5,0.1,28
0.5,0.2,33
0.5,0.2,28
0.5,0.2,29
0.5,0.2,28
0.5,0.2,36
0.5,0.2,34
0.5,0.2,32
0.5,0.2,29
0.5,0.2,33
0.5,0.2,26
0.5,0.2,30
0.5,0.2,34
0.5,0.2,37
0.5,0.2,33
0.5,0.2,27
0.5,0.2,33
0.5,0.2,26
0.5,0.2,31
0.5,0.2,35
0.5,0.2,35
0.5,0.30000000000000004,42
0.5,0.30000000000000004,42
0.5,0.30000000000000004,37
0.5,0.30000000000000004,29
0.5,0.30000000000000004,39
0.5,0.30000000000000004,39
0.5,0.30000000000000004,40
0.5,0.30000000000000004,35
0.5,0.30000000000000004,40
0.5,0.30000000000000004,44
0.5,0.30000000000000004,43
0.5,0.30000000000000004,38
0.5,0.30000000000000004,44
0.5,0.30000000000000004,33
0.5,0.30000000000000004,33
0.5,0.30000000000000004,31
0.5,0.30000000000000004,41
0.5,0.30000000000000004,37
0.5,0.30000000000000004,39
0.5,0.30000000000000004,40
0.5,0.4,41
0.5,0.4,45
0.5,0.4,43
0.5,0.4,40
0.5,0.4,35
0.5,0.4,40
0.5,0.4,39
0.5,0.4,43
0.5,0.4,44
0.5,0.4,36
0.5,0.4,40
0.5,0.4,45
0.5,0.4,44
0.5,0.4,43
0.5,0.4,51
0.5,0.4,42
0.5,0.4,42
0.5,0.4,47
0.5,0.4,36
0.5,0.4,39
0.5,0.5,43
0.5,0.5,39
0.5,0.5,50
0.5,0.5,39
0.5,0.5,49
0.5,0.5,44
0.5,0.5,46
0.5,0.5,40
0.5,0.5,44
0.5,0.5,40
0.5,0.5,47
0.5,0.5,41
0.5,0.5,42
0.5,0.5,44
0.5,0.5,46
0.5,0.5,47
0.5,0.5,45
0.5,0.5,39
0.5,0.5,47
0.5,0.5,40
0.6,0,28
0.6,0,23
0.6,0,27
0.6,0,28
0.6,0,23
0.6,0,31
0.6,0,34
0.6,0,29
0.6,0,31
0.6,0,25
0.6,0,30
0.6,0,24
0.6,0,29
0.6,0,25
0.6,0,29
0.6,0,30
0.6,0,22
0.6,0,20
0.6,0,27
0.6,0,23
0.6,0.1,30
0.6,0.1,29
0.6,0.1,33
0.6,0.1,31
0.6,0.1,30
0.6,0.1,32
0.6,0.1,35
0.6,0.1,29
0.6,0.1,25
0.6,0.1,23
0.6,0.1,29
0.6,0.1,22
0.6,0.1,34
0.6,0.1,36
0.6,0.1,32
0.6,0.1,26
0.6,0.1,35
0.6,0.1,29
0.6,0.1,36
0.6,0.1,33
0.6,0.2,30
0.6,0.2,40
0.6,0.2,30
0.6,0.2,39
0.6,0.2,38
0.6,0.2,31
0.6,0.2,37
0.6,0.2,30
0.6,0.2,37
0.6,0.2,29
0.6,0.2,31
0.6,0.2,28
0.6,0.2,34
0.6,0.2,35
0.6,0.2,39
0.6,0.2,30
0.6,0.2,31
0.6,0.2,36
0.6,0.2,31
0.6,0.2,37
0.6,0.30000000000000004,37
0.6,0.30000000000000004,41
0.6,0.30000000000000004,42
0.6,0.30000000000000004,40
0.6,0.30000000000000004,34
0.6,0.30000000000000004,39
0.6,0.30000000000000004,43
0.6,0.30000000000000004,32
0.6,0.30000000000000004,34
0.6,0.30000000000000004,34
0.6,0.30000000000000004,33
0.6,0.30000000000000004,36
0.6,0.30000000000000004,41
0.6,0.30000000000000004,35
0.6,0.30000000000000004,36
0.6,0.30000000000000004,42
0.6,0.30000000000000004,40
0.6,0.30000000000000004,47
0.6,0.30000000000000004,33
0.6,0.30000000000000004,40
0.6,0.4,44
0.6,0.4,43
0.6,0.4,48
0.6,0.4,45
0.6,0.4,39
0.6,0.4,43
0.6,0.4,45
0.6,0.4,38
0.6,0.4,39
0.6,0.4,41
0.6,0.4,38
0.6,0.4,41
0.6,0.4,44
0.6,0.4,46
0.6,0.4,37
0.6,0.4,37
0.6,0.4,40
0.6,0.4,41
0.6,0.4,42
0.6,0.4,42
0.6,0.5,44
0.6,0.5,44
0.6,0.5,47
0.6,0.5,45
0.6,0.5,44
0.6,0.5,44
0.6,0.5,37
0.6,0.5,49
0.6,0.5,44
0.6,0.5,42
0.6,0.5,48
0.6,0.5,45
0.6,0.5,45
0.6,0.5,42
0.6,0.5,47
0.6,0.5,40
0.6,0.5,46
0.6,0.5,45
0.6,0.5,45
0.6,0.5,48
0.7,0,28
0.7,0,29
0.7,0,36
0.7,0,26
0.7,0,26
0.7,0,32
0.7,0,33
0.7,0,29
0.7,0,28
0.7,0,29
0.7,0,27
0.7,0,33
0.7,0,26
0.7,0,30
0.7,0,27
0.7,0,26
0.7,0,27
0.7,0,21
0.7,0,25
0.7,0,30
0.7,0.1,33
0.7,0.1,26
0.7,0.1,29
0.7,0.1,32
0.7,0.1,27
0.7,0.1,33
0.7,0.1,32
0.7,0.1,31
0.7,0.1,31
0.7,0.1,39
0.7,0.1,27
0.7,0.1,27
0.7,0.1,35
0.7,0.1,31
0.7,0.1,35
0.7,0.1,29
0.7,0.1,30
0.7,0.1,30
0.7,0.1,31
0.7,0.1,32
0.7,0.2,38
