S,n
0,3
0,7
0,11
0,12
0,6
0,6
0,6
0,7
0,7
0,1
0.1,9
0.1,6
0.1,4
0.1,8
0.1,4
0.1,8
0.1,4
0.1,14
0.1,4
0.1,10
0.2,7
0.2,6
0.2,12
0.2,11
0.2,8
0.2,8
0.2,6
0.2,5
0.2,7
0.2,6
0.30000000000000004,6
0.30000000000000004,9
0.30000000000000004,6
0.30000000000000004,4
0.30000000000000004,6
0.30000000000000004,11
0.30000000000000004,6
0.30000000000000004,7
0.30000000000000004,13
0.30000000000000004,8
0.4,17
0.4,9
0.4,13
0.4,10
0.4,12
0.4,8
0.4,7
0.4,11
0.4,6
0.4,12
0.5,8
0.5,7
0.5,11
0.5,12
0.5,11
0.5,7
0.5,9
0.5,16
0.5,13
0.5,12
0.6000000000000001,14
0.6000000000000001,13
0.6000000000000001,14
0.6000000000000001,6
0.6000000000000001,12
0.6000000000000001,7
0.6000000000000001,9
0.6000000000000001,15
0.6000000000000001,6
0.6000000000000001,11
0.7000000000000001,19
0.7000000000000001,21
0.7000000000000001,18
0.7000000000000001,16
0.7000000000000001,18
0.7000000000000001,14
0.7000000000000001,16
0.7000000000000001,18
0.7000000000000001,14
0.7000000000000001,16
0.8,13
0.8,14
0.8,20
0.8,16
0.8,21
0.8,17
0.8,18
0.8,19
0.8,19
0.8,15
0.9,28
0.9,20
0.9,15
0.9,21
0.9,24
0.9,23
0.9,19
0.9,19
0.9,24
0.9,20
1,27
1,27
1,29
1,23
1,26
1,25
1,18
1,27
1,21
1,21
