S,n
0,16
0,16
0,18
0,17
0,12
0,15
0,18
0,18
0,16
0,13
0.1,22
0.1,16
0.1,15
0.1,21
0.1,19
0.1,18
0.1,13
0.1,18
0.1,27
0.1,26
0.2,16
0.2,17
0.2,15
0.2,20
0.2,19
0.2,13
0.2,17
0.2,21
0.2,20
0.2,22
0.30000000000000004,17
0.30000000000000004,18
0.30000000000000004,17
0.30000000000000004,17
0.30000000000000004,16
0.30000000000000004,15
0.30000000000000004,17
0.30000000000000004,20
0.30000000000000004,23
0.30000000000000004,18
0.4,20
0.4,22
0.4,15
0.4,22
0.4,29
0.4,18
0.4,15
0.4,22
0.4,20
0.4,21
0.5,19
0.5,24
0.5,22
0.5,14
0.5,25
0.5,24
0.5,17
0.5,17
0.5,32
0.5,19
0.6000000000000001,26
0.6000000000000001,25
0.6000000000000001,28
0.6000000000000001,25
0.6000000000000001,28
0.6000000000000001,17
0.6000000000000001,20
0.6000000000000001,18
0.6000000000000001,16
0.6000000000000001,23
0.7000000000000001,20
0.7000000000000001,19
0.7000000000000001,22
0.7000000000000001,24
0.7000000000000001,25
0.7000000000000001,30
0.7000000000000001,28
0.7000000000000001,24
0.7000000000000001,21
0.7000000000000001,28
0.8,23
0.8,31
0.8,31
0.8,26
0.8,27
0.8,32
0.8,31
0.8,27
0.8,30
0.8,20
0.9,26
0.9,30
0.9,31
0.9,35
0.9,28
0.9,38
0.9,26
0.9,37
0.9,25
0.9,38
1,37
1,40
1,39
1,31
1,37
1,34
1,33
1,36
1,33
1,31
