S,n
0,30
0,32
0,37
0,30
0,37
0,31
0,33
0,37
0,32
0,30
0.1,46
0.1,36
0.1,29
0.1,35
0.1,34
0.1,33
0.1,29
0.1,29
0.1,28
0.1,35
0.2,33
0.2,34
0.2,35
0.2,26
0.2,34
0.2,35
0.2,34
0.2,40
0.2,37
0.2,39
0.30000000000000004,32
0.30000000000000004,34
0.30000000000000004,34
0.30000000000000004,33
0.30000000000000004,35
0.30000000000000004,35
0.30000000000000004,40
0.30000000000000004,38
0.30000000000000004,42
0.30000000000000004,34
0.4,37
0.4,38
0.4,40
0.4,37
0.4,42
0.4,40
0.4,36
0.4,33
0.4,33
0.4,34
0.5,38
0.5,31
0.5,36
0.5,35
0.5,34
0.5,28
0.5,34
0.5,40
0.5,33
0.5,44
0.6000000000000001,37
0.6000000000000001,38
0.6000000000000001,39
0.6000000000000001,39
0.6000000000000001,38
0.6000000000000001,41
0.6000000000000001,34
0.6000000000000001,35
0.6000000000000001,35
0.6000000000000001,35
0.7000000000000001,40
0.7000000000000001,39
0.7000000000000001,40
0.7000000000000001,40
0.7000000000000001,35
0.7000000000000001,41
0.7000000000000001,32
0.7000000000000001,46
0.7000000000000001,37
0.7000000000000001,44
0.8,42
0.8,42
0.8,40
0.8,45
0.8,39
0.8,47
0.8,47
0.8,45
0.8,47
0.8,45
0.9,45
0.9,44
0.9,42
0.9,36
0.9,42
0.9,43
0.9,47
0.9,30
0.9,44
0.9,44
1,49
1,46
1,47
1,43
1,46
1,45
1,47
1,48
1,43
1,44
